id,fecha,producto,cantidad,precio_unitario
66,2025-01-18,Alfajor,5,700
67,2025-01-18,Medialuna,4,450
68,2025-01-19,Alfajor,5,700
69,2025-01-19,Medialuna,4,450
70,2025-01-19,Medialuna,2,450
71,2025-01-20,Alfajor,4,700
72,2025-01-20,Cafe,1,800
73,2025-01-20,Medialuna,1,450
74,2025-01-20,Cafe,3,800
75,2025-01-20,Gaseosa,1,1200
76,2025-01-20,Cafe,4,800
77,2025-01-21,Gaseosa,4,1200
78,2025-01-21,Medialuna,1,450
79,2025-01-21,Sandwich,4,2500
80,2025-01-21,Gaseosa,2,1200
81,2025-01-22,Gaseosa,2,1200
82,2025-01-22,Medialuna,3,450
83,2025-01-22,Medialuna,2,450
84,2025-01-23,Sandwich,1,2500
85,2025-01-23,Cafe,2,800
86,2025-01-24,Gaseosa,1,1200
87,2025-01-24,Medialuna,2,450
88,2025-01-25,Agua,1,900
89,2025-01-25,Cafe,5,800
90,2025-01-25,Te,5,600
91,2025-01-25,Alfajor,2,700
92,2025-01-25,Cafe,2,800
93,2025-01-26,Te,5,600
94,2025-01-26,Medialuna,1,450
95,2025-01-26,Medialuna,2,450
96,2025-01-26,Medialuna,3,450
97,2025-01-26,Medialuna,4,450
98,2025-01-27,Medialuna,3,450
99,2025-01-27,Sandwich,4,2500
100,2025-01-27,Cafe,5,800
101,2025-01-27,Alfajor,1,700
102,2025-01-28,Te,1,600
103,2025-01-28,Alfajor,3,700
104,2025-01-28,Medialuna,2,450
105,2025-01-29,Medialuna,2,450
106,2025-01-29,Medialuna,5,450
107,2025-01-30,Te,5,600
108,2025-01-30,Agua,5,900
109,2025-01-30,Agua,2,900
110,2025-01-30,Gaseosa,5,1200
111,2025-01-30,Te,5,600
112,2025-01-30,Cafe,3,800
113,2025-01-31,Jugo,2,1100
114,2025-01-31,Cafe,1,800
115,2025-02-01,Agua,2,900
116,2025-02-01,Gaseosa,1,1200
117,2025-02-01,Sandwich,3,2500
118,2025-02-01,Gaseosa,1,1200
119,2025-02-02,Alfajor,2,700
120,2025-02-02,Te,1,600
121,2025-02-02,Cafe,3,800
122,2025-02-02,Medialuna,1,450
123,2025-02-03,Cafe,1,800
124,2025-02-03,Medialuna,1,450
125,2025-02-04,Gaseosa,3,1200
126,2025-02-04,Medialuna,4,450
127,2025-02-04,Gaseosa,5,1200
128,2025-02-04,Cafe,4,800
129,2025-02-04,Medialuna,2,450
130,2025-02-04,Gaseosa,4,1200
131,2025-02-05,Agua,5,900
132,2025-02-05,Gaseosa,3,1200
133,2025-02-06,Medialuna,3,450
134,2025-02-06,Cafe,4,800
135,2025-02-06,Alfajor,3,700
136,2025-02-06,Agua,3,900
137,2025-02-06,Agua,1,900
138,2025-02-07,Agua,3,900
139,2025-02-07,Gaseosa,1,1200
140,2025-02-07,Sandwich,3,2500
141,2025-02-07,Cafe,1,800
142,2025-02-08,Cafe,1,800
143,2025-02-08,Cafe,2,800
144,2025-02-09,Medialuna,3,450
145,2025-02-09,Cafe,5,800
146,2025-02-09,Cafe,4,800
147,2025-02-09,Medialuna,2,450
148,2025-02-09,Agua,2,900
149,2025-02-09,Agua,2,900
150,2025-02-10,Cafe,5,800
151,2025-02-10,Gaseosa,4,1200
152,2025-02-10,Alfajor,2,700
153,2025-02-10,Te,1,600
154,2025-02-10,Te,4,600
155,2025-02-10,Medialuna,3,450
156,2025-02-11,Jugo,5,1100
157,2025-02-11,Cafe,2,800
158,2025-02-11,Sandwich,5,2500
159,2025-02-12,Medialuna,5,450
160,2025-02-12,Agua,3,900
161,2025-02-12,Cafe,1,800
162,2025-02-12,Gaseosa,2,1200
163,2025-02-13,Cafe,2,800
164,2025-02-13,Gaseosa,2,1200
165,2025-02-13,Alfajor,4,700
166,2025-02-13,Agua,3,900
167,2025-02-13,Jugo,2,1100
168,2025-02-14,Alfajor,3,700
169,2025-02-14,Alfajor,3,700
170,2025-02-14,Medialuna,4,450
171,2025-02-14,Sandwich,4,2500
172,2025-02-14,Alfajor,5,700
173,2025-02-14,Medialuna,2,450
174,2025-02-15,Cafe,1,800
175,2025-02-15,Jugo,5,1100
176,2025-02-15,Agua,1,900
177,2025-02-15,Gaseosa,1,1200
178,2025-02-15,Medialuna,5,450
179,2025-02-16,Cafe,1,800
180,2025-02-16,Jugo,1,1100
181,2025-02-16,Sandwich,5,2500
182,2025-02-16,Medialuna,1,450
183,2025-02-17,Medialuna,5,450
184,2025-02-17,Alfajor,2,700
185,2025-02-17,Jugo,1,1100
186,2025-02-17,Cafe,4,800
187,2025-02-17,Medialuna,3,450
188,2025-02-18,Cafe,5,800
189,2025-02-18,Gaseosa,2,1200
190,2025-02-18,Cafe,3,800
191,2025-02-18,Medialuna,3,450
192,2025-02-19,Cafe,4,800
193,2025-02-19,Cafe,1,800
194,2025-02-19,Alfajor,4,700
195,2025-02-19,Jugo,3,1100
196,2025-02-20,Cafe,5,800
197,2025-02-20,Cafe,3,800
198,2025-02-20,Sandwich,2,2500
199,2025-02-20,Cafe,1,800
200,2025-02-20,Sandwich,1,2500
201,2025-02-20,Alfajor,1,700
202,2025-02-21,Medialuna,5,450
203,2025-02-21,Cafe,5,800
204,2025-02-21,Te,1,600
205,2025-02-21,Jugo,4,1100
206,2025-02-22,Alfajor,1,700
207,2025-02-22,Medialuna,5,450
208,2025-02-23,Gaseosa,3,1200
209,2025-02-23,Medialuna,4,450
210,2025-02-23,Cafe,5,800
211,2025-02-23,Te,3,600
212,2025-02-24,Alfajor,3,700
213,2025-02-24,Cafe,1,800
214,2025-02-24,Alfajor,3,700
215,2025-02-24,Te,2,600
216,2025-02-24,Cafe,4,800
217,2025-02-25,Gaseosa,3,1200
218,2025-02-25,Alfajor,4,700
219,2025-02-25,Medialuna,2,450
220,2025-02-25,Cafe,4,800
221,2025-02-25,Te,3,600
222,2025-02-25,Agua,3,900
223,2025-02-26,Alfajor,5,700
224,2025-02-26,Medialuna,2,450
225,2025-02-26,Medialuna,5,450
226,2025-02-26,Gaseosa,2,1200
227,2025-02-26,Medialuna,3,450
228,2025-02-27,Medialuna,4,450
229,2025-02-27,Te,5,600
230,2025-02-28,Te,2,600
231,2025-02-28,Gaseosa,1,1200
232,2025-02-28,Te,5,600
233,2025-02-28,Medialuna,4,450
234,2025-03-01,Cafe,3,800
235,2025-03-01,Gaseosa,3,1200
236,2025-03-01,Cafe,4,800
237,2025-03-01,Alfajor,5,700
238,2025-03-01,Sandwich,4,2500
239,2025-03-02,Gaseosa,1,1200
240,2025-03-02,Alfajor,2,700
241,2025-03-02,Cafe,5,800
242,2025-03-02,Agua,2,900
243,2025-03-03,Gaseosa,5,1200
244,2025-03-03,Medialuna,4,450
245,2025-03-03,Alfajor,4,700
246,2025-03-03,Medialuna,1,450
247,2025-03-04,Gaseosa,3,1200
248,2025-03-04,Medialuna,2,450
249,2025-03-04,Alfajor,5,700
250,2025-03-05,Gaseosa,3,1200
251,2025-03-05,Cafe,2,800
252,2025-03-05,Sandwich,1,2500
253,2025-03-05,Jugo,2,1100
254,2025-03-06,Jugo,4,1100
255,2025-03-06,Cafe,2,800
256,2025-03-06,Agua,1,900
257,2025-03-06,Gaseosa,5,1200
258,2025-03-07,Sandwich,1,2500
259,2025-03-07,Cafe,4,800
260,2025-03-07,Cafe,5,800
261,2025-03-07,Agua,2,900
262,2025-03-07,Jugo,4,1100
263,2025-03-07,Gaseosa,3,1200
264,2025-03-08,Medialuna,5,450
265,2025-03-08,Sandwich,4,2500
266,2025-03-08,Alfajor,3,700
267,2025-03-08,Cafe,4,800
268,2025-03-09,Cafe,3,800
269,2025-03-09,Te,4,600
270,2025-03-09,Cafe,3,800
271,2025-03-10,Alfajor,4,700
272,2025-03-10,Medialuna,5,450
273,2025-03-10,Cafe,4,800
274,2025-03-10,Alfajor,5,700
275,2025-03-10,Gaseosa,3,1200
276,2025-03-10,Jugo,5,1100
277,2025-03-11,Alfajor,5,700
278,2025-03-11,Gaseosa,4,1200
279,2025-03-12,Gaseosa,3,1200
280,2025-03-12,Cafe,5,800
281,2025-03-12,Alfajor,2,700
282,2025-03-12,Agua,5,900
283,2025-03-13,Alfajor,1,700
284,2025-03-13,Alfajor,2,700
285,2025-03-13,Cafe,2,800
286,2025-03-13,Cafe,5,800
287,2025-03-13,Alfajor,2,700
288,2025-03-13,Sandwich,3,2500
289,2025-03-14,Cafe,3,800
290,2025-03-14,Medialuna,4,450
291,2025-03-14,Sandwich,5,2500
292,2025-03-14,Cafe,5,800
293,2025-03-14,Sandwich,2,2500
294,2025-03-15,Cafe,5,800
295,2025-03-15,Cafe,1,800
296,2025-03-15,Medialuna,3,450
297,2025-03-16,Cafe,5,800
298,2025-03-16,Agua,2,900
299,2025-03-16,Medialuna,2,450
300,2025-03-17,Agua,2,900
301,2025-03-17,Medialuna,5,450
302,2025-03-18,Alfajor,1,700
303,2025-03-18,Medialuna,5,450
304,2025-03-18,Medialuna,5,450
305,2025-03-18,Cafe,4,800
306,2025-03-18,Cafe,3,800
307,2025-03-19,Agua,1,900
308,2025-03-19,Medialuna,1,450
309,2025-03-19,Cafe,5,800
310,2025-03-20,Medialuna,1,450
311,2025-03-20,Cafe,2,800
312,2025-03-20,Alfajor,1,700
313,2025-03-20,Medialuna,4,450
314,2025-03-21,Alfajor,2,700
315,2025-03-21,Te,4,600
316,2025-03-21,Te,2,600
317,2025-03-22,Jugo,4,1100
318,2025-03-22,Agua,4,900
319,2025-03-22,Alfajor,2,700
320,2025-03-22,Jugo,4,1100
321,2025-03-22,Alfajor,5,700
322,2025-03-22,Gaseosa,1,1200
323,2025-03-23,Agua,1,900
324,2025-03-23,Agua,3,900
325,2025-03-23,Agua,5,900
326,2025-03-24,Cafe,2,800
327,2025-03-24,Gaseosa,2,1200
328,2025-03-24,Alfajor,4,700
329,2025-03-25,Sandwich,2,2500
330,2025-03-25,Gaseosa,3,1200
331,2025-03-26,Agua,4,900
332,2025-03-26,Cafe,5,800
333,2025-03-26,Medialuna,3,450
334,2025-03-26,Alfajor,4,700
335,2025-03-27,Cafe,2,800
336,2025-03-27,Gaseosa,3,1200
337,2025-03-27,Medialuna,5,450
338,2025-03-28,Cafe,5,800
339,2025-03-28,Medialuna,3,450
340,2025-03-28,Jugo,1,1100
341,2025-03-28,Medialuna,3,450
342,2025-03-28,Sandwich,5,2500
343,2025-03-28,Alfajor,1,700
344,2025-03-29,Medialuna,1,450
345,2025-03-29,Gaseosa,1,1200
346,2025-03-29,Sandwich,4,2500
347,2025-03-29,Gaseosa,4,1200
348,2025-03-30,Jugo,5,1100
349,2025-03-30,Sandwich,1,2500
350,2025-03-30,Cafe,3,800
351,2025-03-30,Cafe,1,800
352,2025-03-30,Medialuna,2,450
353,2025-03-30,Sandwich,3,2500
354,2025-03-31,Jugo,1,1100
355,2025-03-31,Agua,5,900
356,2025-04-01,Agua,3,900
357,2025-04-01,Agua,3,900
358,2025-04-02,Te,4,600
359,2025-04-02,Agua,4,900
360,2025-04-02,Te,3,600
361,2025-04-02,Medialuna,4,450
362,2025-04-02,Te,2,600
363,2025-04-03,Cafe,1,800
364,2025-04-03,Gaseosa,5,1200
365,2025-04-03,Medialuna,5,450
366,2025-04-03,Cafe,2,800
367,2025-04-03,Medialuna,1,450
368,2025-04-04,Medialuna,2,450
369,2025-04-04,Medialuna,5,450
370,2025-04-04,Medialuna,4,450
371,2025-04-04,Alfajor,5,700
372,2025-04-04,Cafe,5,800
373,2025-04-04,Alfajor,2,700
374,2025-04-05,Cafe,3,800
375,2025-04-05,Alfajor,5,700
376,2025-04-05,Cafe,2,800
377,2025-04-05,Medialuna,1,450
378,2025-04-05,Alfajor,4,700
379,2025-04-05,Medialuna,1,450
380,2025-04-06,Cafe,3,800
381,2025-04-06,Agua,2,900
382,2025-04-06,Sandwich,3,2500
383,2025-04-07,Te,1,600
384,2025-04-07,Te,5,600
385,2025-04-08,Alfajor,5,700
386,2025-04-08,Gaseosa,3,1200
387,2025-04-09,Alfajor,5,700
388,2025-04-09,Gaseosa,1,1200
389,2025-04-09,Jugo,2,1100
390,2025-04-09,Gaseosa,4,1200
391,2025-04-09,Cafe,1,800
392,2025-04-10,Gaseosa,3,1200
393,2025-04-10,Cafe,3,800
394,2025-04-10,Gaseosa,1,1200
395,2025-04-11,Alfajor,1,700
396,2025-04-11,Alfajor,5,700
397,2025-04-11,Cafe,5,800
398,2025-04-11,Gaseosa,2,1200
399,2025-04-11,Sandwich,1,2500
400,2025-04-12,Medialuna,5,450
401,2025-04-12,Medialuna,1,450
402,2025-04-12,Te,1,600
403,2025-04-12,Medialuna,5,450
404,2025-04-12,Cafe,5,800
405,2025-04-12,Cafe,2,800
406,2025-04-13,Sandwich,5,2500
407,2025-04-13,Agua,4,900
408,2025-04-13,Te,2,600
409,2025-04-14,Cafe,3,800
410,2025-04-14,Cafe,2,800
411,2025-04-14,Jugo,5,1100
412,2025-04-14,Alfajor,2,700
413,2025-04-14,Alfajor,4,700
414,2025-04-15,Agua,3,900
415,2025-04-15,Cafe,5,800
416,2025-04-15,Cafe,1,800
417,2025-04-16,Cafe,4,800
418,2025-04-16,Gaseosa,5,1200
419,2025-04-16,Medialuna,3,450
420,2025-04-16,Cafe,5,800
421,2025-04-16,Cafe,3,800
422,2025-04-17,Cafe,2,800
423,2025-04-17,Jugo,5,1100
424,2025-04-17,Gaseosa,5,1200
425,2025-04-18,Medialuna,5,450
426,2025-04-18,Cafe,1,800
427,2025-04-18,Medialuna,2,450
428,2025-04-19,Gaseosa,2,1200
429,2025-04-19,Gaseosa,2,1200
430,2025-04-19,Gaseosa,5,1200
431,2025-04-19,Alfajor,4,700
432,2025-04-19,Cafe,2,800
433,2025-04-20,Gaseosa,3,1200
434,2025-04-20,Cafe,3,800
435,2025-04-21,Medialuna,3,450
436,2025-04-21,Jugo,4,1100
437,2025-04-22,Medialuna,1,450
438,2025-04-22,Cafe,3,800
439,2025-04-23,Alfajor,4,700
440,2025-04-23,Jugo,4,1100
441,2025-04-23,Agua,3,900
442,2025-04-23,Te,5,600
443,2025-04-23,Medialuna,3,450
444,2025-04-24,Alfajor,1,700
445,2025-04-24,Gaseosa,1,1200
446,2025-04-24,Cafe,3,800
447,2025-04-24,Agua,4,900
448,2025-04-25,Alfajor,3,700
449,2025-04-25,Cafe,1,800
450,2025-04-25,Te,2,600
451,2025-04-26,Medialuna,5,450
452,2025-04-26,Medialuna,5,450
453,2025-04-26,Sandwich,5,2500
454,2025-04-26,Sandwich,4,2500
455,2025-04-26,Agua,3,900
456,2025-04-26,Alfajor,4,700
457,2025-04-27,Cafe,3,800
458,2025-04-27,Cafe,5,800
459,2025-04-27,Alfajor,3,700
460,2025-04-28,Alfajor,5,700
461,2025-04-28,Cafe,4,800
462,2025-04-28,Gaseosa,1,1200
463,2025-04-29,Medialuna,1,450
464,2025-04-29,Alfajor,5,700
465,2025-04-29,Medialuna,3,450
466,2025-04-29,Alfajor,2,700
467,2025-04-29,Jugo,5,1100
468,2025-04-29,Alfajor,5,700
469,2025-04-30,Alfajor,5,700
470,2025-04-30,Sandwich,3,2500
471,2025-04-30,Agua,5,900
472,2025-04-30,Te,4,600
473,2025-05-01,Medialuna,5,450
474,2025-05-01,Alfajor,3,700
475,2025-05-01,Alfajor,2,700
476,2025-05-01,Sandwich,4,2500
477,2025-05-01,Medialuna,1,450
478,2025-05-01,Cafe,2,800
479,2025-05-02,Sandwich,4,2500
480,2025-05-02,Medialuna,2,450
481,2025-05-02,Medialuna,2,450
482,2025-05-03,Cafe,1,800
483,2025-05-03,Jugo,1,1100
484,2025-05-03,Te,1,600
485,2025-05-03,Medialuna,3,450
486,2025-05-04,Jugo,1,1100
487,2025-05-04,Medialuna,3,450
488,2025-05-04,Medialuna,1,450
489,2025-05-04,Cafe,1,800
490,2025-05-04,Agua,2,900
491,2025-05-04,Medialuna,4,450
492,2025-05-05,Gaseosa,2,1200
493,2025-05-05,Alfajor,5,700
494,2025-05-06,Medialuna,2,450
495,2025-05-06,Cafe,3,800
496,2025-05-06,Te,4,600
497,2025-05-06,Medialuna,1,450
498,2025-05-06,Alfajor,5,700
499,2025-05-07,Agua,2,900
500,2025-05-07,Cafe,4,800
501,2025-05-07,Medialuna,1,450
502,2025-05-07,Medialuna,1,450
503,2025-05-07,Medialuna,3,450
504,2025-05-08,Jugo,4,1100
505,2025-05-08,Cafe,1,800
506,2025-05-09,Agua,5,900
507,2025-05-09,Te,1,600
508,2025-05-09,Medialuna,2,450
509,2025-05-09,Cafe,2,800
510,2025-05-10,Gaseosa,3,1200
511,2025-05-10,Te,4,600
512,2025-05-10,Alfajor,2,700
513,2025-05-10,Medialuna,1,450
514,2025-05-10,Medialuna,1,450
515,2025-05-10,Gaseosa,5,1200
516,2025-05-11,Medialuna,5,450
517,2025-05-11,Alfajor,3,700
518,2025-05-11,Te,5,600
519,2025-05-11,Sandwich,5,2500
520,2025-05-12,Te,5,600
521,2025-05-12,Gaseosa,5,1200
522,2025-05-12,Medialuna,4,450
523,2025-05-12,Agua,3,900
524,2025-05-12,Cafe,5,800
525,2025-05-13,Cafe,5,800
526,2025-05-13,Medialuna,3,450
527,2025-05-13,Medialuna,5,450
528,2025-05-13,Te,2,600
529,2025-05-13,Gaseosa,3,1200
530,2025-05-14,Agua,1,900
531,2025-05-14,Gaseosa,4,1200
532,2025-05-14,Gaseosa,5,1200
533,2025-05-14,Medialuna,4,450
534,2025-05-15,Jugo,4,1100
535,2025-05-15,Agua,4,900
536,2025-05-16,Medialuna,4,450
537,2025-05-16,Medialuna,3,450
538,2025-05-16,Medialuna,3,450
539,2025-05-16,Alfajor,4,700
540,2025-05-16,Cafe,4,800
541,2025-05-16,Medialuna,5,450
542,2025-05-17,Alfajor,3,700
543,2025-05-17,Sandwich,5,2500
544,2025-05-18,Cafe,3,800
545,2025-05-18,Medialuna,4,450
546,2025-05-19,Alfajor,3,700
547,2025-05-19,Cafe,2,800
548,2025-05-19,Cafe,2,800
549,2025-05-19,Cafe,3,800
550,2025-05-20,Sandwich,1,2500
551,2025-05-20,Gaseosa,5,1200
552,2025-05-20,Sandwich,5,2500
553,2025-05-20,Cafe,2,800
554,2025-05-20,Cafe,4,800
555,2025-05-20,Te,1,600
556,2025-05-21,Alfajor,1,700
557,2025-05-21,Jugo,4,1100
558,2025-05-22,Cafe,5,800
559,2025-05-22,Agua,3,900
560,2025-05-23,Alfajor,5,700
561,2025-05-23,Gaseosa,4,1200
562,2025-05-23,Cafe,1,800
563,2025-05-23,Medialuna,2,450
564,2025-05-23,Te,5,600
565,2025-05-24,Gaseosa,1,1200
566,2025-05-24,Cafe,5,800
567,2025-05-24,Medialuna,4,450
568,2025-05-25,Gaseosa,2,1200
569,2025-05-25,Alfajor,3,700
570,2025-05-25,Agua,1,900
571,2025-05-25,Alfajor,4,700
572,2025-05-25,Cafe,4,800
573,2025-05-26,Gaseosa,2,1200
574,2025-05-26,Medialuna,3,450
575,2025-05-26,Cafe,1,800
576,2025-05-26,Cafe,4,800
577,2025-05-26,Cafe,4,800
578,2025-05-26,Jugo,1,1100
579,2025-05-27,Gaseosa,1,1200
580,2025-05-27,Te,2,600
581,2025-05-27,Cafe,3,800
582,2025-05-27,Cafe,5,800
583,2025-05-28,Cafe,5,800
584,2025-05-28,Cafe,2,800
585,2025-05-28,Medialuna,3,450
586,2025-05-28,Alfajor,2,700
587,2025-05-28,Cafe,2,800
588,2025-05-28,Sandwich,1,2500
589,2025-05-29,Te,4,600
590,2025-05-29,Medialuna,2,450
591,2025-05-29,Agua,3,900
592,2025-05-29,Medialuna,5,450
593,2025-05-29,Cafe,3,800
594,2025-05-30,Cafe,5,800
595,2025-05-30,Medialuna,2,450
596,2025-05-30,Agua,4,900
597,2025-05-30,Gaseosa,1,1200
598,2025-05-30,Alfajor,2,700
599,2025-05-30,Te,4,600
600,2025-05-31,Cafe,1,800
601,2025-05-31,Te,4,600
602,2025-06-01,Sandwich,3,2500
603,2025-06-01,Medialuna,1,450
604,2025-06-02,Medialuna,4,450
605,2025-06-02,Cafe,2,800
606,2025-06-03,Jugo,1,1100
607,2025-06-03,Cafe,3,800
608,2025-06-03,Cafe,3,800
609,2025-06-04,Te,5,600
610,2025-06-04,Alfajor,3,700
611,2025-06-05,Agua,2,900
612,2025-06-05,Cafe,5,800
613,2025-06-05,Agua,4,900
614,2025-06-05,Agua,1,900
615,2025-06-05,Gaseosa,3,1200
616,2025-06-05,Alfajor,2,700
617,2025-06-06,Jugo,5,1100
618,2025-06-06,Gaseosa,3,1200
619,2025-06-06,Alfajor,5,700
620,2025-06-06,Alfajor,1,700
621,2025-06-06,Gaseosa,1,1200
622,2025-06-06,Medialuna,1,450
623,2025-06-07,Cafe,2,800
624,2025-06-07,Alfajor,4,700
625,2025-06-07,Medialuna,3,450
626,2025-06-07,Jugo,3,1100
627,2025-06-07,Cafe,4,800
628,2025-06-07,Te,2,600
629,2025-06-08,Jugo,4,1100
630,2025-06-08,Jugo,1,1100
631,2025-06-08,Cafe,5,800
632,2025-06-08,Medialuna,2,450
633,2025-06-09,Alfajor,2,700
634,2025-06-09,Alfajor,5,700
635,2025-06-09,Medialuna,3,450
636,2025-06-09,Agua,3,900
637,2025-06-09,Medialuna,4,450
638,2025-06-10,Medialuna,1,450
639,2025-06-10,Medialuna,3,450
640,2025-06-10,Alfajor,5,700
641,2025-06-10,Sandwich,5,2500
642,2025-06-10,Gaseosa,4,1200
643,2025-06-10,Te,3,600
644,2025-06-11,Agua,3,900
645,2025-06-11,Sandwich,2,2500
646,2025-06-11,Agua,2,900
647,2025-06-12,Medialuna,2,450
648,2025-06-12,Agua,2,900
649,2025-06-13,Gaseosa,4,1200
650,2025-06-13,Alfajor,1,700
651,2025-06-13,Jugo,3,1100
652,2025-06-13,Agua,1,900
653,2025-06-14,Alfajor,4,700
654,2025-06-14,Medialuna,1,450
655,2025-06-14,Agua,5,900
656,2025-06-14,Sandwich,3,2500
657,2025-06-15,Cafe,3,800
658,2025-06-15,Cafe,1,800
659,2025-06-15,Sandwich,2,2500
660,2025-06-15,Te,3,600
661,2025-06-15,Alfajor,3,700
662,2025-06-16,Te,3,600
663,2025-06-16,Cafe,3,800
664,2025-06-16,Alfajor,5,700
665,2025-06-17,Agua,3,900
666,2025-06-17,Medialuna,5,450
667,2025-06-17,Agua,1,900
668,2025-06-17,Agua,2,900
669,2025-06-18,Alfajor,4,700
670,2025-06-18,Cafe,4,800
671,2025-06-18,Jugo,5,1100
672,2025-06-18,Medialuna,5,450
673,2025-06-19,Agua,1,900
674,2025-06-19,Cafe,1,800
675,2025-06-20,Gaseosa,2,1200
676,2025-06-20,Cafe,4,800
677,2025-06-21,Agua,5,900
678,2025-06-21,Jugo,4,1100
679,2025-06-22,Cafe,5,800
680,2025-06-22,Cafe,2,800
681,2025-06-23,Cafe,4,800
682,2025-06-23,Cafe,1,800
683,2025-06-23,Medialuna,5,450
684,2025-06-24,Medialuna,5,450
685,2025-06-24,Agua,1,900
686,2025-06-24,Alfajor,4,700
687,2025-06-24,Alfajor,1,700
688,2025-06-24,Medialuna,2,450
689,2025-06-25,Cafe,1,800
690,2025-06-25,Cafe,2,800
691,2025-06-25,Sandwich,1,2500
692,2025-06-25,Cafe,3,800
693,2025-06-26,Gaseosa,1,1200
694,2025-06-26,Jugo,3,1100
695,2025-06-27,Medialuna,4,450
696,2025-06-27,Jugo,4,1100
697,2025-06-27,Sandwich,3,2500
698,2025-06-28,Cafe,5,800
699,2025-06-28,Te,1,600
700,2025-06-28,Cafe,2,800
701,2025-06-28,Medialuna,1,450
702,2025-06-29,Agua,2,900
703,2025-06-29,Agua,4,900
704,2025-06-29,Medialuna,3,450
705,2025-06-29,Alfajor,5,700
706,2025-06-29,Agua,5,900
707,2025-06-29,Agua,2,900
708,2025-06-30,Gaseosa,5,1200
709,2025-06-30,Cafe,2,800
710,2025-06-30,Cafe,1,800
